id,name,rank,year_published,num_user_ratings
x9Fd0eOdGE,Zooloretto,420,2007,92
Ad9NDUFxmt,UNO,421,1971,154
9uhmUaJqat,Adrenaline,422,2016,78
2RICv6q7dj,Deep Space D-6,423,2015,52
754qbigK4J,Railways of the World,424,2005,73
sB38SAzUdj,Aeon's End: Legacy,425,2019,38
ulNR7xR5Fp,Firefly: The Game,427,2013,78
hKCjpV0T98,Zombicide,428,2012,89
1CsoCmVUjw,Stuffed Fables,429,2018,43
E2upodPoNQ,Imperial Settlers: Empires of the North,430,2019,25
s7n0Tqhpzh,Not Alone,431,2016,74
9CSmAJHQ2i,Villagers,432,2019,55
XDg3Y8HtJP,Monikers,433,2015,58
XDNYRxIjFH,The Castles of Burgundy: The Card Game,434,2016,81
zOWVRE0eKL,Spot It!,435,2009,98
3Qx47A4K8M,Rummikub,436,1977,100
QtV8B2Ln9d,Age of Steam,438,2002,55
9PfvxBFXQm,Labyrinth,439,1986,93
R7SYLEG8nQ,Between Two Castles of Mad King Ludwig,440,2018,60
88ZDb8829K,Caverna: Cave vs Cave,441,2017,74
5dreNl12L3,Tobago,442,2009,74
BUuV8FEwsq,Thurn and Taxis,443,2006,84
Hkx63V3Zda,Schotten Totten,444,1999,70
EnGYEQzyCo,Cottage Garden,445,2016,82
iHa5BgZnIC,Exit: The Pharaoh's Tomb,446,2016,69
M9B3TQBnjK,Valeria: Card Kingdoms,447,2016,62
OfW8SkMrMy,51st State: Master Set,448,2016,61
levMwXaCM6,Monopoly Deal Card Game,449,2008,98
nxjgIpCyGr,Tiny Epic Kingdoms,450,2014,80
MQcEH8C8Aa,Boss Monster,451,2013,112
XZ1Wb2aYWr,Steam,452,2009,74
xc8SQv6LCk,Pipeline,453,2019,36
xz0xM0AKTu,Exit: The Secret Lab,454,2016,69
XVYVL4fQcm,Morels,455,2012,76
jXzFrntFLr,Bora Bora,456,2013,72
Nr3vGlo1Iz,Tyrants of the Underdark,457,2016,54
hDurrOhHw5,Vinhos Deluxe,458,2016,39
krIC603gYl,NMBR 9,459,2017,77
5n5G4CNXuZ,Wingspan: European Expansion,460,2019,27
vU3CiiniIT,Last Night on Earth: The Zombie Game,461,2007,93
oDWSfnXNdt,Quarriors,462,2011,89
UXJOqsr0fE,Neuroshima Hex!,463,2006,76
4MSnryD1uj,Ex Libris,464,2017,64
YD2fbRwJdz,Princes of Florence,465,2000,74
w0NihupjSx,Onirim,466,2010,84
J9W6vjCo0I,Kingdom Death: Monster,467,2015,44
WKm8ApKkOk,Celestia,468,2015,71
B5suE6HYs5,Wasteland Express Delivery Service,469,2017,57
Z3vMJbRCO6,KLASK,470,2014,59
l3TMEluK8v,Roll Player: Monsters & Minions,471,2018,41
oF83oEFLg8,Among the Stars,472,2012,77
7i4IuOW5NU,PitchCar,473,1995,62
uAoaqPhZRT,Notre Dame,474,2007,78
X38gi29iJ4,Steampunk Rally,475,2015,63
L3bbRD1H4o,Rococo,476,2013,62
t4jSv0hQA7,Scotland Yard,477,1983,92
Pk9mnq0Bsl,Amerigo,478,2013,65
bieRFX1aHW,Black Orchestra,479,2016,51
Uqq7wGK2Dv,Baseball Highlights: 2045,480,2015,50
gKb4o7jI3E,Diplomacy,481,1959,68
g8GGQ9Xjoo,Airlines Europe,482,2011,67
cGtW2VeSmR,Dungeon Lords,483,2009,71
HRW5zuJeNC,Deus,484,2014,69
lPmrDkMTBX,Carcassonne: Hunters & Gatherers,485,2002,72
dwLdPI1qlv,Nusfjord,486,2017,48
ol8GGnVRXH,"Air, Land, & Sea",487,2018,40
3O0h8kseCn,Blueprints,488,2013,79
vYo3EteAcZ,Condottiere,489,1995,68
otIQ3ZB83G,Spirit Island: Branch & Claw,490,2017,33
dkzrClbG9z,Scoville,491,2014,73
klGlWbHJyb,Animal Upon Animal,492,2005,70
TGhVamZQWF,Love Letter: Batman,493,2015,74
kD6X2kl8Xj,Aquasphere,494,2014,65
d1TPKWYUq5,XCOM: The Board Game,495,2015,62
BsW53eMDNO,Terraforming Mars: Hellas & Elysium,496,2017,35
MqTAWdPzke,Dragon Castle,497,2017,56
LazUpMOj2S,Harbour,498,2015,80
lUaboJsfJV,Shogun,499,2006,66
3JQ3df02MB,St. Petersburg,500,2004,77
odf6rzEnxx,Treasure Island,501,2018,49
Oz9RDjiS8j,Civilization: A New Dawn,502,2017,53
1sfTEQm7EI,Hardback,503,2018,57
4KexyZo2cz,Lords of Hellas,504,2018,40
yzgDrh4MAy,Escape Plan,505,2019,41
StnENRvzjA,Parade,506,2007,66
QAfBISmJ1O,The Godfather: Corleone's Empire,509,2017,52
wa7tVs4Di1,Chicago Express,510,2007,61
I8RXkTaNJ4,Yinsh,511,2003,52
Qvd6HFMI9t,Sherlock Holmes Consulting Detective: Jack the Ripper & West End Adventures,512,2017,41
FknHStKZ4z,Mage Knight: Ultimate Edition,513,2018,28
367FfYdpIJ,Navegador,514,2010,57
uNKvWIwMXv,Empires of the Void II,515,2018,24
494paFA7qy,Barrage,518,2019,23
Yq4y7EwjYD,Bargain Quest,519,2017,46
2FfPhO1l1B,Lancaster,520,2011,55
